poch: 1 [0/388729 (0%)]	Loss: 0.052230
Train Epoch: 1 [10240/388729 (3%)]	Loss: 0.057504
Train Epoch: 1 [20480/388729 (5%)]	Loss: 0.055668
Train Epoch: 1 [30720/388729 (8%)]	Loss: 0.064176
Train Epoch: 1 [40960/388729 (11%)]	Loss: 0.068172
Train Epoch: 1 [51200/388729 (13%)]	Loss: 0.091435
Train Epoch: 1 [61440/388729 (16%)]	Loss: 0.082223
Train Epoch: 1 [71680/388729 (18%)]	Loss: 0.060050
Train Epoch: 1 [81920/388729 (21%)]	Loss: 0.070539
Train Epoch: 1 [92160/388729 (24%)]	Loss: 0.067857
Train Epoch: 1 [102400/388729 (26%)]	Loss: 0.082673
Train Epoch: 1 [112640/388729 (29%)]	Loss: 0.053731
Train Epoch: 1 [122880/388729 (32%)]	Loss: 0.066060
Train Epoch: 1 [133120/388729 (34%)]	Loss: 0.072274
Train Epoch: 1 [143360/388729 (37%)]	Loss: 0.058351
Train Epoch: 1 [153600/388729 (39%)]	Loss: 0.075673
Train Epoch: 1 [163840/388729 (42%)]	Loss: 0.047871
Train Epoch: 1 [174080/388729 (45%)]	Loss: 0.045336
Train Epoch: 1 [184320/388729 (47%)]	Loss: 0.053851
Train Epoch: 1 [194560/388729 (50%)]	Loss: 0.057698
Train Epoch: 1 [204800/388729 (53%)]	Loss: 0.073629
Train Epoch: 1 [215040/388729 (55%)]	Loss: 0.052576
Train Epoch: 1 [225280/388729 (58%)]	Loss: 0.063153
Train Epoch: 1 [235520/388729 (61%)]	Loss: 0.073327
Train Epoch: 1 [245760/388729 (63%)]	Loss: 0.074701
Train Epoch: 1 [256000/388729 (66%)]	Loss: 0.082313
Train Epoch: 1 [266240/388729 (68%)]	Loss: 0.051578
Train Epoch: 1 [276480/388729 (71%)]	Loss: 0.067436
Train Epoch: 1 [286720/388729 (74%)]	Loss: 0.060613
Train Epoch: 1 [296960/388729 (76%)]	Loss: 0.034401
Train Epoch: 1 [307200/388729 (79%)]	Loss: 0.047004
Train Epoch: 1 [317440/388729 (82%)]	Loss: 0.048059
Train Epoch: 1 [327680/388729 (84%)]	Loss: 0.039477
Train Epoch: 1 [337920/388729 (87%)]	Loss: 0.051942
Train Epoch: 1 [348160/388729 (89%)]	Loss: 0.032164
Train Epoch: 1 [358400/388729 (92%)]	Loss: 0.024266
Train Epoch: 1 [368640/388729 (95%)]	Loss: 0.062554
Train Epoch: 1 [378880/388729 (97%)]	Loss: 0.049494

Validation set: Average loss: 0.0006, Accuracy: 3630/3870 (94%)

Train Epoch: 2 [0/388729 (0%)]	Loss: 0.032048
Train Epoch: 2 [10240/388729 (3%)]	Loss: 0.040621
Train Epoch: 2 [20480/388729 (5%)]	Loss: 0.086357
Train Epoch: 2 [30720/388729 (8%)]	Loss: 0.060047
Train Epoch: 2 [40960/388729 (11%)]	Loss: 0.080415
Train Epoch: 2 [51200/388729 (13%)]	Loss: 0.138434
Train Epoch: 2 [61440/388729 (16%)]	Loss: 0.129740
Train Epoch: 2 [71680/388729 (18%)]	Loss: 0.075682
Train Epoch: 2 [81920/388729 (21%)]	Loss: 0.068523
Train Epoch: 2 [92160/388729 (24%)]	Loss: 0.067852
Train Epoch: 2 [102400/388729 (26%)]	Loss: 0.093151
Train Epoch: 2 [112640/388729 (29%)]	Loss: 0.091052
Train Epoch: 2 [122880/388729 (32%)]	Loss: 0.103841
Train Epoch: 2 [133120/388729 (34%)]	Loss: 0.051679
Train Epoch: 2 [143360/388729 (37%)]	Loss: 0.051191
Train Epoch: 2 [153600/388729 (39%)]	Loss: 0.066016
Train Epoch: 2 [163840/388729 (42%)]	Loss: 0.091723
Train Epoch: 2 [174080/388729 (45%)]	Loss: 0.078349
